72.96,9.17
98.88,74.66
67.22,3.75
53.94,63.78
49.22,23.69
70.55,53.19
91.47,13.90
49.09,21.17
39.65,0.61
9.14,18.35
15.14,21.59
99.85,44.17
19.00,55.62
19.90,22.87
28.24,9.89
67.97,26.13
4.43,1.49
25.71,80.81
93.32,99.65
34.78,95.03
79.49,79.26
67.17,33.40
74.76,72.63
3.56,73.31
60.93,96.96
28.53,77.94
78.26,77.41
23.23,29.07
49.22,82.44
86.45,72.67
54.00,37.01
42.88,44.05
28.95,81.88
4.10,55.41
41.96,2.59
32.09,48.69
10.01,60.82
17.63,38.94
63.02,22.09
26.78,99.79
25.67,89.14
87.49,71.02
84.19,18.25
85.23,1.07
28.44,16.78
11.73,71.84
11.70,94.94
64.19,92.07
49.87,71.71
23.53,86.89
90.20,15.95
49.77,55.66
15.19,36.91
20.39,18.13
11.89,25.57
2.89,19.81
28.91,87.98
97.06,21.31
63.80,4.85
4.01,53.72
72.27,97.92
79.52,82.30
66.96,82.84
7.02,83.88
78.71,40.83
82.42,10.46
85.84,46.90
36.92,80.36
78.19,51.14
37.01,11.79
11.68,21.30
91.16,88.86
26.59,20.02
62.01,29.82
48.08,8.01
29.34,8.66
60.97,35.53
74.65,67.13
52.56,9.21
61.09,42.16
46.96,98.28
64.02,25.39
12.42,75.23
66.82,66.15
9.04,69.16
74.21,26.77
58.54,47.44
11.19,0.34
59.95,30.75
69.29,4.66
45.57,89.95
34.04,73.53
70.06,69.22
77.57,76.62
52.08,29.45
28.46,12.72
42.90,8.06
37.30,37.33
79.10,47.17
40.95,5.67
87.64,50.61
91.08,34.51
50.67,92.26
53.20,12.25
4.78,12.83
1.34,15.81
44.83,10.65
30.50,24.88
25.88,52.95
84.01,59.26
8.64,8.47
46.31,3.66
73.43,29.79
82.79,25.52
35.67,94.27
18.00,36.36
31.88,46.17
31.16,94.58
9.50,69.22
13.26,98.84
45.78,59.29
74.52,74.89
41.83,59.21
12.20,16.09
86.13,64.56
49.60,97.79
58.55,8.28
34.68,49.53
50.88,84.47
43.49,35.16
12.43,77.27
67.87,60.78
90.69,19.43
79.56,3.18
25.91,17.04
53.57,27.27
